weatherId,country,location,date,time,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,description,icon,stations
1,Australia,Melbourne,1996-03-10,\N,25.1,11.1,17.6,25.1,11.1,17.6,11.8,71.8,0.003,100.0,4.17,rain,,,,25.9,158.8,1020.9,8.0,18.3,,,,,Rain,Clear conditions throughout the day with morning rain.,rain,"94,860,099,999,948,900,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2,Australia,Melbourne,1997-03-09,\N,18.6,11.6,15.2,18.6,11.6,15.2,4.8,50.3,0.0,0.0,0.0,,,,,31.3,175.4,1019.5,67.6,20.1,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"94,860,099,999,948,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
3,Australia,Melbourne,1998-03-08,\N,21.4,8.4,14.4,21.4,6.5,14.2,7.5,66.0,0.0,0.0,0.0,,,,,26.2,170.9,1023.4,3.4,19.4,,,,,Clear,Clear conditions throughout the day.,clear-day,"94,860,099,999,948,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
4,Australia,Melbourne,1999-03-07,\N,19.1,14.1,16.5,19.1,14.1,16.5,10.2,68.4,0.0,0.0,0.0,,,,,25.9,201.7,1020.1,72.9,18.0,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"94,860,099,999,948,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
5,Australia,Melbourne,2000-03-12,\N,28.6,16.1,21.8,28.9,16.1,21.9,16.1,71.7,0.0,0.0,0.0,,,,,19.9,186.9,1013.8,67.7,17.7,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"94,866,099,999,958,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
28,Malaysia,Kuala Lumpur,1999-10-17,\N,32.1,25.1,27.9,37.9,25.1,31.0,23.9,79.9,0.1,100.0,4.17,rain,,0.0,,14.8,299.5,,90.0,10.9,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,48647099999
29,Malaysia,Kuala Lumpur,2000-10-22,\N,33.2,25.5,28.5,38.1,25.5,31.7,24.3,79.3,7.9,100.0,4.17,rain,,,,18.6,307.0,1008.3,90.6,11.3,,,,,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"4,864,709,999,948,640,000,000"
68,Spain,Montmeló,1991-09-29,\N,19.0,13.9,15.9,19.0,13.9,15.9,11.1,73.6,1.65,100.0,8.33,rain,,,,24.4,225.8,998.5,69.4,14.0,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"818,409,999,908,181,000,000"
69,Spain,Montmeló,1992-05-03,\N,13.3,7.3,11.2,13.3,4.3,10.8,8.6,84.3,3.067,100.0,8.33,rain,,10.0,,20.0,7.8,1014.1,89.8,9.0,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"81,820,999,990,818,400,000,000,000,000,000"
70,Spain,Montmeló,1993-05-09,\N,21.3,12.8,17.2,21.3,12.8,17.2,14.2,83.3,0.0,0.0,0.0,,,,,22.9,94.0,1014.0,49.4,7.4,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"818,409,999,908,181,000,000"
71,Spain,Montmeló,1994-05-29,\N,22.7,15.1,18.7,22.7,15.1,18.7,15.3,81.6,0.0,0.0,0.0,,,,,16.7,81.8,1015.2,59.7,7.0,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"818,409,999,908,181,000,000"
72,Spain,Montmeló,1995-05-14,\N,17.3,7.7,13.5,17.3,5.5,13.2,2.3,47.9,0.0,0.0,0.0,,,,,18.4,258.9,1018.4,30.0,10.1,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"818,409,999,908,181,000,000"
73,Spain,Montmeló,1996-06-02,\N,17.8,12.1,15.6,17.8,12.1,15.6,15.0,95.8,0.0,0.0,0.0,,,,,21.6,76.0,1015.5,94.6,6.0,,,,,Overcast,Cloudy skies throughout the day.,cloudy,"818,409,999,908,181,000,000"
74,Spain,Montmeló,1997-05-25,\N,23.3,16.1,20.0,23.3,16.1,20.0,13.2,65.9,0.0,0.0,0.0,,,,,39.2,46.9,1016.3,74.3,10.9,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"818,409,999,908,181,000,000"
75,Spain,Montmeló,1998-05-10,\N,25.1,12.7,17.6,25.1,12.7,17.6,11.8,71.9,0.0,0.0,0.0,,,,,22.3,64.3,1019.9,59.7,10.4,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"818,409,999,908,181,000,000"
76,Spain,Montmeló,1999-05-30,\N,28.1,17.4,20.8,28.9,17.4,20.8,17.7,83.2,0.0,0.0,0.0,,,,,22.3,57.6,1016.4,78.6,6.3,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"818,409,999,908,181,000,000"
77,Spain,Montmeló,2000-05-07,\N,22.0,14.5,17.1,22.0,14.5,17.1,13.6,80.5,0.0,0.0,0.0,,,,,21.4,80.6,1012.7,73.2,8.0,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"818,409,999,908,181,000,000"
111,Monaco,Monte-Carlo,1970-05-10,\N,13.9,12.2,13.0,13.9,12.2,13.0,8.1,73.3,0.0,0.0,0.0,,,,,35.3,274.6,1008.9,78.8,15.8,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,16153099999
112,Monaco,Monte-Carlo,1971-05-23,\N,0.0,0.0,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,
113,Monaco,Monte-Carlo,1972-05-14,\N,0.0,0.0,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,
114,Monaco,Monte-Carlo,1973-06-03,\N,22.2,16.1,19.4,22.2,16.1,19.4,16.2,81.9,0.0,0.0,0.0,,,0.0,,21.0,81.1,1017.4,48.4,9.7,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"7,690,099,999,161,530,000,000,000,000,000,000,000,000,000"
115,Monaco,Monte-Carlo,1974-05-26,\N,20.1,14.1,17.6,20.1,14.1,17.6,10.0,61.5,0.0,0.0,0.0,,,,,13.7,274.3,1019.0,51.4,12.1,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76,900,999,991,615,300,000,000,000,000,000"
116,Monaco,Monte-Carlo,1975-05-11,\N,15.1,11.7,13.6,15.1,11.7,13.6,10.8,83.7,11.083,100.0,8.33,rain,,0.0,,41.6,43.8,1009.2,86.2,9.9,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"769,009,999,916,153,000,000,000,000,000,000,000,000,000,000,000,000,000"
117,Monaco,Monte-Carlo,1976-05-30,\N,20.2,15.1,18.1,20.2,15.1,18.1,14.7,80.8,0.0,0.0,0.0,,,0.0,,20.4,86.2,1017.1,42.8,10.7,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76,900,999,991,615,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
118,Monaco,Monte-Carlo,1977-05-22,\N,19.1,13.1,16.5,19.1,13.1,16.5,11.3,72.4,0.0,0.0,0.0,,,,,25.9,57.2,1017.0,60.4,12.1,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"769,009,999,916,153,000,000,000,000,000,000,000,000,000,000,000,000,000"
119,Monaco,Monte-Carlo,1978-05-07,\N,16.0,10.4,13.2,16.0,10.4,13.2,10.8,85.6,0.0,0.0,0.0,,,90.0,,18.4,51.3,1006.5,65.1,11.2,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"769,009,999,916,153,000,000,000,000,000,000,000,000,000,000,000,000,000"
120,Monaco,Monte-Carlo,1979-05-27,\N,20.1,14.6,17.4,20.1,14.6,17.4,14.9,85.8,1.331,100.0,4.17,rain,,0.0,,22.0,200.0,1014.7,74.9,10.9,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"769,009,999,916,153,000,000,000,000,000,000,000,000,000,000,000,000,000"
121,Monaco,Monte-Carlo,1980-05-18,\N,17.0,10.9,13.9,17.0,10.9,13.9,10.4,79.8,0.0,0.0,0.0,,,48.3,,23.8,345.5,1012.2,67.0,11.3,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"7,690,099,999,161,530,000,000,000,000,000,000,000,000,000"
122,Monaco,Monte-Carlo,1981-05-31,\N,23.1,15.2,19.8,23.1,15.2,19.8,12.9,65.1,0.0,0.0,0.0,,,,,18.8,58.6,1018.2,16.7,11.0,,,,,Clear,Clear conditions throughout the day.,clear-day,"7,684,099,999,076,900,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
123,Monaco,Monte-Carlo,1982-05-23,\N,21.2,16.1,18.6,21.2,16.1,18.6,16.4,87.4,1.835,100.0,4.17,rain,,,,33.9,249.6,1012.3,68.1,8.2,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"768,409,999,907,690,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
124,Monaco,Monte-Carlo,1983-05-15,\N,20.1,14.9,17.4,20.1,14.9,17.4,14.9,85.6,3.062,100.0,4.17,rain,,27.0,,36.7,61.0,1010.1,87.5,12.4,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"768,409,999,907,690,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
125,Monaco,Monte-Carlo,1984-06-03,\N,17.0,12.9,15.1,17.0,12.9,15.1,12.9,87.5,7.243,100.0,4.17,rain,,5.6,,37.8,123.9,1010.0,74.3,8.3,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"768,409,999,907,690,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
126,Monaco,Monte-Carlo,1985-05-19,\N,18.1,13.9,15.4,18.1,13.9,15.4,12.2,81.5,0.07,100.0,4.17,rain,,,,18.4,49.2,1017.8,88.7,10.8,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"768,409,999,907,690,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
127,Monaco,Monte-Carlo,1986-05-11,\N,19.6,13.1,16.8,19.6,13.1,16.8,14.1,84.7,0.0,0.0,0.0,,,,,11.7,160.0,1021.4,44.0,10.1,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"768,409,999,907,690,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
128,Monaco,Monte-Carlo,1987-05-31,\N,21.0,16.8,18.5,21.0,16.8,18.5,13.8,74.7,0.0,0.0,0.0,,,,,22.5,84.7,1015.8,49.6,12.7,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76,840,999,990,769,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
129,Monaco,Monte-Carlo,1988-05-15,\N,20.2,16.3,18.0,20.2,16.3,18.0,16.0,88.0,0.781,100.0,4.17,rain,,,,14.8,264.2,1010.0,71.4,11.4,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"768,409,999,907,690,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
130,Monaco,Monte-Carlo,1989-05-07,\N,19.9,14.8,17.3,19.9,14.8,17.3,12.6,76.3,0.0,0.0,0.0,,,,,40.1,71.9,1013.6,71.5,9.7,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76,840,999,990,769,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
131,Monaco,Monte-Carlo,1990-05-27,\N,21.2,15.1,17.7,21.2,15.1,17.7,14.1,79.7,1.286,100.0,8.33,rain,,,,22.3,31.1,1017.4,65.1,12.2,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76,840,999,990,769,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
132,Monaco,Monte-Carlo,1991-05-12,\N,17.1,10.0,14.2,17.1,8.1,14.2,11.8,85.4,0.0,0.0,0.0,,,,,24.2,67.3,1013.9,55.0,10.8,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"768,409,999,907,690,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
133,Monaco,Monte-Carlo,1992-05-31,\N,22.6,16.7,19.7,22.6,16.7,19.7,17.5,87.2,0.156,100.0,4.17,rain,,,,20.9,70.3,1012.2,68.1,8.1,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"7,684,099,999,076,900,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
134,Monaco,Monte-Carlo,1993-05-23,\N,20.3,12.5,17.0,20.3,12.5,17.0,12.2,74.1,0.0,0.0,0.0,,,,,13.6,69.8,1018.4,37.1,10.9,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"768,409,999,907,690,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
