constructorStandingsId,raceId,constructorId,points,position,positionText,wins
17847,775,118,48.0,1,1,6
17848,775,125,0.0,8,8,0
17849,775,127,0.0,9,9,0
17850,775,95,0.0,7,7,0
18845,756,95,0.0,6,6,0
18844,756,32,0.0,5,5,0
18843,756,66,0.0,4,4,0
18842,756,167,0.0,3,3,0
18841,756,6,6.0,2,2,0
18840,756,170,8.0,1,1,1
18848,757,6,6.0,2,2,0
18847,757,170,8.0,1,1,1
17845,775,66,18.0,4,4,0
17844,775,105,6.0,5,5,0
17833,774,87,31.0,3,3,2
17834,774,6,40.0,2,2,2
17835,774,105,6.0,5,5,0
17836,774,66,15.0,4,4,0
17837,774,32,3.0,6,6,0
17838,774,118,46.0,1,1,5
17839,774,125,0.0,8,8,0
17840,774,127,0.0,9,9,0
17841,774,95,0.0,7,7,0
17824,773,87,29.0,3,3,2
19611,737,172,36.0,2,2,3
19610,737,6,18.0,6,6,0
19584,735,100,0.0,9,9,0
19585,735,177,0.0,17,17,0
19576,735,6,18.0,5,5,0
18863,759,6,16.0,2,2,1
18862,759,170,18.0,1,1,1
17827,773,66,15.0,4,4,0
17828,773,32,3.0,6,6,0
17829,773,118,41.0,1,1,4
17830,773,125,0.0,8,8,0
17831,773,127,0.0,9,9,0
17832,773,95,0.0,7,7,0
18879,760,101,0.0,10,10,0
18878,760,169,0.0,8,8,0
18877,760,117,0.0,5,5,0
18876,760,105,0.0,7,7,0
18875,760,95,0.0,9,9,0
17826,773,105,6.0,5,5,0
17825,773,6,40.0,2,2,2
18874,760,32,3.0,4,4,0
18873,760,66,14.0,3,3,1
18872,760,167,0.0,6,6,0
18871,760,6,16.0,2,2,1
18870,760,170,26.0,1,1,2
17823,772,95,0.0,7,7,0
17822,772,127,0.0,9,9,0
17821,772,125,0.0,8,8,0
17820,772,118,33.0,2,2,3
17818,772,66,12.0,4,4,0
17819,772,32,3.0,6,6,0
17817,772,105,6.0,5,5,0
17816,772,6,37.0,1,1,2
17815,772,87,29.0,3,3,2
18891,761,101,0.0,10,10,0
18890,761,169,0.0,8,8,0
18889,761,117,0.0,6,6,0
18888,761,105,0.0,7,7,0
18887,761,95,0.0,9,9,0
18886,761,32,3.0,4,4,0
18885,761,66,16.0,3,3,1
18884,761,167,0.0,5,5,0
17810,771,32,3.0,6,6,0
17811,771,118,25.0,2,2,2
17812,771,125,0.0,8,8,0
17813,771,127,0.0,9,9,0
17814,771,95,0.0,7,7,0
17809,771,66,12.0,4,4,0
17806,771,87,23.0,3,3,2
17807,771,6,36.0,1,1,2
19609,737,170,29.0,3,3,1
19608,737,95,18.0,5,5,1
19607,737,99,0.0,9,9,0
19606,737,26,19.0,4,4,0
19593,736,6,18.0,6,6,0
19594,736,172,36.0,2,2,3
19595,736,175,0.0,14,14,0
18883,761,6,24.0,2,2,2
17799,770,105,6.0,5,5,0
17800,770,66,10.0,4,4,0
17801,770,32,3.0,6,6,0
17802,770,118,22.0,2,2,2
17803,770,125,0.0,8,8,0
17804,770,127,0.0,9,9,0
17805,770,95,0.0,7,7,0
18882,761,170,29.0,1,1,2
17793,769,118,16.0,3,3,2
17794,769,125,0.0,8,8,0
17795,769,127,0.0,9,9,0
17796,769,95,0.0,7,7,0
19599,736,97,0.0,13,13,0
19376,744,167,0.0,6,6,0
19375,744,170,13.0,4,4,0
19374,744,95,17.0,3,3,0
19362,743,6,42.0,1,1,4
19361,743,172,26.0,2,2,2
19352,742,6,42.0,1,1,4
19351,742,172,17.0,2,2,1
17792,769,32,3.0,6,6,0
17789,769,6,20.0,1,1,0
17790,769,105,3.0,5,5,0
17785,768,125,0.0,8,8,0
17786,768,127,0.0,9,9,0
17787,768,95,0.0,7,7,0
19597,736,66,39.0,1,1,3
19591,736,95,18.0,5,5,1
19345,741,170,6.0,4,4,0
19344,741,95,9.0,3,3,0
19343,741,6,33.0,1,1,3
19342,741,172,17.0,2,2,1
19338,740,170,4.0,3,3,0
19337,740,95,3.0,4,4,0
17784,768,118,8.0,3,3,1
17783,768,32,0.0,6,6,0
17782,768,66,8.0,4,4,0
17781,768,105,3.0,5,5,0
17780,768,6,14.0,2,2,0
17779,768,87,19.0,1,1,2
17778,767,95,0.0,7,7,0
17777,767,127,0.0,9,9,0
17776,767,125,0.0,8,8,0
17775,767,118,8.0,3,3,1
17791,769,66,10.0,4,4,0
17774,767,32,0.0,6,6,0
17769,766,127,0.0,8,8,0
17768,766,125,0.0,7,7,0
17767,766,118,0.0,6,6,0
17766,766,32,0.0,5,5,0
17765,766,66,2.0,4,4,0
17764,766,105,3.0,3,3,0
17763,766,6,12.0,2,2,0
17762,766,87,16.0,1,1,2
17773,767,66,8.0,4,4,0
17772,767,105,3.0,5,5,0
17771,767,6,14.0,2,2,0
17770,767,87,19.0,1,1,2
17761,765,105,3.0,3,3,0
17760,765,6,6.0,2,2,0
17759,765,87,8.0,1,1,1
17788,769,87,19.0,2,2,2
17798,770,6,28.0,1,1,1
17797,770,87,19.0,3,3,2
17808,771,105,6.0,5,5,0
17842,775,87,31.0,3,3,2
17843,775,6,40.0,2,2,2
19575,735,170,25.0,3,3,1
19562,734,95,16.0,5,5,1
19563,734,99,0.0,7,7,0
19574,735,95,17.0,6,6,1
19573,735,99,0.0,7,7,0
19572,735,26,19.0,4,4,0
19565,734,176,0.0,10,10,0
19566,734,175,0.0,14,14,0
19567,734,87,0.0,9,9,0
19336,740,6,24.0,1,1,2
19335,740,172,13.0,2,2,1
19331,739,170,2.0,4,4,0
19330,739,95,2.0,3,3,0
19324,738,170,1.0,4,4,0
19323,738,167,0.0,5,5,0
19119,754,106,0.0,12,12,0
19108,753,106,0.0,11,11,0
19096,752,106,0.0,11,11,0
19079,751,66,6.0,4,4,0
19065,750,167,3.0,5,5,0
18928,764,118,0.0,15,15,0
18929,764,123,0.0,16,16,0
18930,764,113,0.0,7,7,0
18931,764,168,0.0,11,11,0
18932,764,124,0.0,12,12,0
18933,764,125,0.0,13,13,0
19042,747,105,0.0,7,7,0
19038,747,32,9.0,3,3,1
19034,747,167,3.0,4,4,0
19054,749,167,3.0,5,5,0
19067,750,66,6.0,4,4,0
19068,750,32,17.0,2,2,1
19069,750,170,30.0,1,1,3
19070,750,101,0.0,10,10,0
19071,750,104,0.0,6,6,0
22131,613,34,12.0,4,4,0
22132,613,1,35.0,3,3,2
22133,613,6,12.0,5,5,0
22119,612,34,11.0,5,5,0
22120,612,1,26.0,3,3,1
22044,607,6,9.0,4,4,0
22040,607,37,0.0,10,10,0
22041,607,66,1.0,5,5,0
22042,607,34,1.0,6,6,0
22032,605,66,0.0,6,6,0
22033,605,34,1.0,5,5,0
21918,622,1,17.0,1,1,1
21909,621,1,15.0,1,1,1
21906,621,37,3.0,5,5,0
21898,620,63,2.0,4,4,0
21946,624,1,23.0,2,2,1
21941,624,66,9.0,5,5,1
21940,624,32,28.0,1,1,2
21921,623,32,19.0,2,2,1
21927,623,1,19.0,1,1,1
21913,622,66,0.0,8,8,0
21914,622,34,1.0,7,7,0
21912,622,32,15.0,2,2,1
21905,621,34,1.0,7,7,0
21904,621,66,0.0,8,8,0
21895,620,66,0.0,7,7,0
21894,620,32,0.0,8,8,0
21792,642,85,0.0,12,12,0
21791,642,199,0.0,11,11,0
21780,641,85,0.0,12,12,0
21779,641,201,0.0,10,10,0
21768,640,85,0.0,12,12,0
21767,640,201,0.0,10,10,0
21756,639,201,0.0,11,11,0
21755,639,66,21.0,3,3,1
21745,638,201,0.0,11,11,0
21744,638,199,0.0,10,10,0
21734,637,201,0.0,11,11,0
21733,637,199,0.0,10,10,0
21723,636,201,0.0,11,11,0
21722,636,66,12.0,3,3,0
21712,635,201,0.0,11,11,0
21711,635,66,9.0,3,3,0
21701,634,199,0.0,10,10,0
21691,633,199,0.0,10,10,0
21681,632,66,0.0,10,10,0
21666,655,86,0.0,10,10,0
21662,655,32,59.0,1,1,6
21664,655,37,48.0,3,3,1
21661,655,66,23.0,6,6,1
21660,655,6,52.0,2,2,4
21654,654,86,0.0,10,10,0
21650,654,32,59.0,1,1,6
21652,654,37,45.0,3,3,1
21649,654,66,22.0,6,6,1
21648,654,6,46.0,2,2,3
21638,653,32,50.0,1,1,5
21639,653,82,21.0,6,6,0
21640,653,37,43.0,3,3,1
21637,653,66,16.0,7,7,1
21636,653,6,43.0,2,2,3
21627,652,32,50.0,1,1,5
21628,652,82,21.0,6,6,0
21626,652,66,13.0,7,7,1
