driverStandingsId,raceId,driverId,points,position,positionText,wins
46783,789,597,0.0,45,45,0
46782,789,630,0.0,44,44,0
46781,789,595,0.0,43,43,0
46780,789,513,0.0,42,42,0
46779,789,558,0.0,41,41,0
46778,789,516,0.0,40,40,0
46777,789,615,0.0,39,39,0
46776,789,520,0.0,38,38,0
46775,789,629,0.0,36,36,0
46774,789,592,0.0,35,35,0
46773,789,449,0.0,33,33,0
46772,789,514,0.0,32,32,0
46771,789,628,0.0,29,29,0
46770,789,537,2.0,21,21,0
46769,789,593,3.0,16,16,0
46768,789,528,4.0,11,11,0
46767,789,611,6.0,8,8,0
46766,789,559,8.0,5,5,1
46765,789,589,0.0,56,56,0
46764,789,479,0.0,55,55,0
46763,789,483,0.0,54,54,0
46762,789,501,3.0,14,14,0
46761,789,427,0.0,48,48,0
46760,789,627,0.0,26,26,0
46759,789,626,0.0,34,34,0
46758,789,547,2.0,19,19,0
46757,789,607,3.0,13,13,0
46756,789,625,0.0,27,27,0
46755,789,624,2.0,18,18,0
46754,789,579,22.5,1,1,2
46753,789,498,0.0,50,50,0
46752,789,608,7.5,6,6,0
46751,789,496,0.0,49,49,0
46750,789,586,0.0,47,47,0
46749,789,581,22.0,2,2,2
46748,789,475,13.0,4,4,1
46747,789,623,0.0,30,30,0
46746,789,482,2.0,20,20,0
46745,789,622,1.5,23,23,0
46744,789,578,4.0,10,10,0
46743,789,554,18.0,3,3,0
46742,789,577,4.0,9,9,1
46899,790,532,0.0,67,67,0
46898,790,806,0.0,29,29,0
46897,790,583,1.5,24,24,0
46896,790,639,0.0,48,48,0
46895,790,638,0.0,47,47,0
46894,790,541,0.0,74,74,0
46893,790,356,0.0,73,73,0
46892,790,585,0.0,70,70,0
46891,790,637,0.0,69,69,0
46890,790,620,0.0,57,57,0
46889,790,506,0.0,65,65,0
46888,790,456,0.0,58,58,0
46887,790,636,0.0,55,55,0
46886,790,619,0.0,37,37,0
46885,790,486,3.0,16,16,0
46884,790,635,0.0,61,61,0
46883,790,606,3.0,12,12,0
46882,790,609,0.0,53,53,0
46881,790,580,3.0,14,14,0
46880,790,634,0.0,54,54,0
46879,790,429,0.0,27,27,0
46878,790,633,2.0,19,19,0
46877,790,632,6.0,7,7,0
46876,790,555,1.0,26,26,0
46875,790,512,0.0,80,80,0
46874,790,526,0.0,79,79,0
46873,790,533,0.0,78,78,0
46872,790,561,0.0,77,77,0
46871,790,538,0.0,76,76,0
46870,790,612,0.0,75,75,0
46869,790,631,0.0,72,72,0
46868,790,562,0.0,71,71,0
46867,790,556,0.0,68,68,0
46866,790,596,0.0,66,66,0
46865,790,529,0.0,64,64,0
46864,790,594,0.0,63,63,0
46863,790,509,0.0,62,62,0
46862,790,525,0.0,46,46,0
46861,790,597,0.0,45,45,0
46860,790,630,0.0,44,44,0
46859,790,595,0.0,43,43,0
46858,790,513,0.0,42,42,0
46857,790,558,0.0,41,41,0
46856,790,516,0.0,40,40,0
46855,790,615,0.0,39,39,0
46854,790,520,0.0,38,38,0
46853,790,629,0.0,36,36,0
46852,790,592,0.0,35,35,0
46851,790,449,0.0,33,33,0
46850,790,514,0.0,32,32,0
46849,790,628,0.0,30,30,0
46848,790,537,2.0,23,23,0
46847,790,593,3.0,17,17,0
46846,790,528,4.0,11,11,0
46845,790,611,6.0,8,8,0
46844,790,559,8.0,5,5,1
46843,790,589,0.0,60,60,0
46842,790,479,0.0,59,59,0
46841,790,483,0.0,56,56,0
46840,790,501,3.0,15,15,0
46839,790,427,0.0,50,50,0
46838,790,627,2.0,18,18,0
46837,790,626,0.0,34,34,0
46836,790,547,2.0,21,21,0
46835,790,607,3.0,13,13,0
46834,790,625,0.0,28,28,0
46833,790,624,2.0,20,20,0
46832,790,579,30.0,1,1,3
46831,790,498,0.0,52,52,0
46830,790,608,7.5,6,6,0
46829,790,496,0.0,51,51,0
46828,790,586,0.0,49,49,0
46827,790,581,22.0,2,2,2
46826,790,475,19.0,4,4,1
46825,790,623,0.0,31,31,0
46824,790,482,2.0,22,22,0
46823,790,622,1.5,25,25,0
46822,790,578,4.0,10,10,0
46821,790,554,22.0,3,3,0
46820,790,577,4.0,9,9,1
46984,791,347,0.0,65,65,0
46983,791,532,0.0,72,72,0
46982,791,806,0.0,31,31,0
46981,791,476,0.0,77,77,0
46980,791,610,0.0,71,71,0
46979,791,641,0.0,64,64,0
46978,791,583,1.5,25,25,0
46977,791,640,0.0,34,34,0
46976,791,639,0.0,53,53,0
46975,791,638,0.0,52,52,0
