constructorResultsId,raceId,constructorId,points,status
10034,750,106,0.0,\N
10033,750,66,0.0,\N
10032,750,32,2.0,\N
10031,750,6,3.0,\N
10030,750,170,8.0,\N
11239,687,190,0.0,\N
11246,688,66,0.0,\N
11247,688,190,0.0,\N
11248,688,194,0.0,\N
11256,689,194,0.0,\N
11257,689,176,0.0,\N
11258,689,189,0.0,\N
11266,667,183,0.0,\N
11267,667,190,0.0,\N
11268,667,89,0.0,\N
11269,667,170,0.0,\N
11270,667,66,0.0,\N
11271,667,195,0.0,\N
11278,668,66,0.0,\N
11279,668,191,0.0,\N
11286,669,190,0.0,\N
11287,669,191,0.0,\N
11288,669,196,0.0,\N
11289,669,194,0.0,\N
11297,670,11,0.0,\N
11298,670,191,0.0,\N
11299,670,194,0.0,\N
11306,671,180,0.0,\N
11307,671,11,0.0,\N
11308,671,187,0.0,\N
11309,671,195,0.0,\N
11317,672,180,0.0,\N
11318,672,191,0.0,\N
11326,673,195,0.0,\N
11327,673,82,0.0,\N
11328,673,190,0.0,\N
11329,673,194,0.0,\N
11337,674,26,0.0,\N
11338,674,1,0.0,\N
11339,674,82,0.0,\N
11340,674,195,0.0,\N
11341,674,11,0.0,\N
11348,675,180,0.0,\N
11349,675,191,0.0,\N
11350,675,11,0.0,\N
11351,675,190,0.0,\N
11352,675,195,0.0,\N
11359,676,6,0.0,\N
11360,676,191,0.0,\N
11361,676,11,0.0,\N
11362,676,194,0.0,\N
11369,677,195,0.0,\N
11370,677,191,0.0,\N
11371,677,194,0.0,\N
11372,677,6,0.0,\N
11373,677,82,0.0,\N
11380,678,82,0.0,\N
11381,678,191,0.0,\N
11382,678,6,0.0,\N
11523,656,66,0.0,\N
11521,656,180,6.0,\N
11528,657,187,6.0,\N
11534,658,182,6.0,\N
11541,659,180,6.0,\N
11547,660,182,4.0,\N
11552,661,182,6.0,\N
11563,663,196,9.0,\N
11572,664,187,2.0,\N
11570,664,180,4.0,\N
11578,665,182,6.0,\N
11584,666,182,6.0,\N
11520,656,196,9.0,\N
11527,657,196,9.0,\N
11533,658,180,9.0,\N
11540,659,196,9.0,\N
11546,660,196,9.0,\N
11551,661,196,9.0,\N
11557,662,182,9.0,\N
11569,664,182,9.0,\N
11577,665,180,9.0,\N
11583,666,187,9.0,\N
11532,657,180,0.0,\N
11538,658,6,0.0,\N
11539,658,66,0.0,\N
11545,659,66,0.0,\N
11550,660,6,0.0,\N
11556,661,66,0.0,\N
11562,662,66,0.0,\N
11576,664,183,0.0,\N
11582,665,187,0.0,\N
11588,666,180,0.0,\N
11716,643,187,6.0,\N
11715,643,34,9.0,\N
11724,644,187,6.0,\N
11723,644,37,9.0,\N
11733,645,34,6.0,\N
11732,645,32,9.0,\N
11741,646,66,9.0,\N
11749,647,37,6.0,\N
11748,647,32,9.0,\N
11759,648,37,6.0,\N
11758,648,32,9.0,\N
11768,649,34,6.0,\N
11767,649,32,9.0,\N
11777,650,6,6.0,\N
11776,650,32,12.0,\N
11788,651,34,4.0,\N
11787,651,6,15.0,\N
11799,652,37,6.0,\N
11798,652,6,9.0,\N
11810,653,37,4.0,\N
11809,653,6,9.0,\N
11821,654,66,6.0,\N
11820,654,32,9.0,\N
11831,655,6,9.0,\N
11722,643,86,0.0,\N
11730,644,86,0.0,\N
11731,644,198,0.0,\N
11739,645,6,0.0,\N
11740,645,198,0.0,\N
11747,646,86,0.0,\N
11756,647,198,0.0,\N
11757,647,85,0.0,\N
11765,648,198,0.0,\N
11766,648,85,0.0,\N
11774,649,82,0.0,\N
11775,649,198,0.0,\N
11785,650,198,0.0,\N
11786,650,85,0.0,\N
11796,651,86,0.0,\N
11797,651,85,0.0,\N
11807,652,32,0.0,\N
11808,652,85,0.0,\N
11818,653,34,0.0,\N
11819,653,25,0.0,\N
11829,654,86,0.0,\N
11830,654,198,0.0,\N
11839,655,25,0.0,\N
11847,632,200,0.0,\N
11848,632,199,0.0,\N
11849,632,66,0.0,\N
11857,633,180,0.0,\N
11858,633,200,0.0,\N
11866,634,34,0.0,\N
11867,634,82,0.0,\N
11874,635,25,0.0,\N
11875,635,1,0.0,\N
11876,635,180,0.0,\N
11877,635,201,0.0,\N
11884,636,34,0.0,\N
11885,636,200,0.0,\N
11886,636,199,0.0,\N
11887,636,6,0.0,\N
11894,637,34,0.0,\N
11895,637,201,0.0,\N
11896,637,199,0.0,\N
11897,637,1,0.0,\N
11898,637,6,0.0,\N
11905,638,66,0.0,\N
11906,638,199,0.0,\N
11907,638,82,0.0,\N
11908,638,1,0.0,\N
11915,639,199,0.0,\N
11916,639,25,0.0,\N
11917,639,6,0.0,\N
11925,640,34,0.0,\N
11926,640,199,0.0,\N
11927,640,6,0.0,\N
11928,640,85,0.0,\N
11935,641,82,0.0,\N
11936,641,63,0.0,\N
11937,641,34,0.0,\N
11944,642,1,0.0,\N
11945,642,199,0.0,\N
11946,642,63,0.0,\N
11947,642,180,0.0,\N
12076,623,66,9.0,\N
12049,620,25,9.0,\N
12058,621,1,9.0,\N
12067,622,32,9.0,\N
12175,605,32,9.0,\N
12037,606,63,0.0,\N
12038,606,37,0.0,\N
12185,607,1,6.0,\N
12184,607,25,9.0,\N
12057,620,82,0.0,\N
12066,621,63,0.0,\N
12075,622,66,0.0,\N
12084,623,37,0.0,\N
12095,624,32,9.0,\N
12104,624,81,0.0,\N
12112,625,6,0.0,\N
12113,625,66,0.0,\N
12122,626,63,0.0,\N
12123,626,81,0.0,\N
12124,626,83,0.0,\N
12132,627,82,0.0,\N
12133,627,32,0.0,\N
12134,627,81,0.0,\N
12143,628,34,0.0,\N
12144,628,84,0.0,\N
12145,628,6,0.0,\N
12153,629,82,0.0,\N
12154,629,25,0.0,\N
12155,629,81,0.0,\N
12163,630,66,0.0,\N
12164,630,32,0.0,\N
12172,631,82,0.0,\N
12173,631,66,0.0,\N
12174,631,81,0.0,\N
12183,605,63,0.0,\N
12192,607,37,0.0,\N
12193,607,66,0.0,\N
12201,608,80,0.0,\N
12202,608,6,0.0,\N
12203,608,63,0.0,\N
12212,609,37,0.0,\N
12213,609,80,0.0,\N
12214,609,6,0.0,\N
12223,610,80,0.0,\N
12224,610,66,0.0,\N
12225,610,81,0.0,\N
12233,611,63,0.0,\N
12234,611,80,0.0,\N
12235,611,58,0.0,\N
12260,612,25,6.0,\N
12259,612,32,9.0,\N
12271,613,32,6.0,\N
12270,613,1,9.0,\N
12268,612,80,0.0,\N
12269,612,57,0.0,\N
12280,613,81,0.0,\N
12281,613,63,0.0,\N
12290,614,34,0.0,\N
12291,614,81,0.0,\N
12292,614,57,0.0,\N
12300,615,37,0.0,\N
12301,615,66,0.0,\N
12310,616,37,0.0,\N
12311,616,57,0.0,\N
12312,616,58,0.0,\N
12320,617,58,0.0,\N
12321,617,66,0.0,\N
12322,617,80,0.0,\N
12323,617,57,0.0,\N
12332,618,63,0.0,\N
12333,618,6,0.0,\N
12334,618,57,0.0,\N
12342,619,6,0.0,\N
12343,619,63,0.0,\N
12344,619,57,0.0,\N
12345,619,25,0.0,\N
12353,590,32,0.0,\N
12354,590,63,0.0,\N
12355,590,80,0.0,\N
12356,590,58,0.0,\N
12364,591,66,0.0,\N
12365,591,26,0.0,\N
12366,591,58,0.0,\N
12367,591,80,0.0,\N
12376,592,32,0.0,\N
12377,592,6,0.0,\N
12378,592,64,0.0,\N
12389,593,26,0.0,\N
12390,593,80,0.0,\N
12391,593,32,0.0,\N
12392,593,78,0.0,\N
12404,594,32,0.0,\N
12405,594,79,0.0,\N
12406,594,63,0.0,\N
12407,594,64,0.0,\N
12418,595,37,0.0,\N
12419,595,80,0.0,\N
12420,595,63,0.0,\N
12421,595,77,0.0,\N
12422,595,78,0.0,\N
12432,596,6,0.0,\N
12433,596,63,0.0,\N
12434,596,32,0.0,\N
12435,596,66,0.0,\N
12447,597,63,0.0,\N
12448,597,64,0.0,\N
12449,597,77,0.0,\N
12459,598,34,0.0,\N
12460,598,63,0.0,\N
12461,598,64,0.0,\N
12462,598,57,0.0,\N
12475,599,64,0.0,\N
12476,599,79,0.0,\N
12477,599,57,0.0,\N
12478,599,76,0.0,\N
12479,599,74,0.0,\N
12492,600,80,0.0,\N
12493,600,57,0.0,\N
12494,600,77,0.0,\N
12495,600,78,0.0,\N
12496,600,74,0.0,\N
12507,601,32,0.0,\N
12508,601,25,0.0,\N
12509,601,80,0.0,\N
12510,601,66,0.0,\N
12511,601,57,0.0,\N
12522,602,66,0.0,\N
12523,602,64,0.0,\N
12524,602,63,0.0,\N
12525,602,57,0.0,\N
12526,602,78,0.0,\N
12537,603,80,0.0,\N
12538,603,66,0.0,\N
12539,603,58,0.0,\N
12540,603,37,0.0,\N
12541,603,57,0.0,\N
12553,604,67,0.0,\N
12554,604,63,0.0,\N
12555,604,37,0.0,\N
12556,604,73,0.0,\N
12567,576,3,0.0,\N
12568,576,73,0.0,\N
12569,576,66,0.0,\N
12570,576,56,0.0,\N
12571,576,63,0.0,\N
12583,577,25,0.0,\N
12584,577,67,0.0,\N
12585,577,66,0.0,\N
12586,577,37,0.0,\N
12599,578,37,0.0,\N
12600,578,63,0.0,\N
12601,578,56,0.0,\N
12602,578,26,0.0,\N
12614,579,66,0.0,\N
12615,579,64,0.0,\N
12616,579,25,0.0,\N
12617,579,67,0.0,\N
12618,579,56,0.0,\N
12630,580,3,0.0,\N
12631,580,75,0.0,\N
12632,580,66,0.0,\N
12633,580,57,0.0,\N
12634,580,56,0.0,\N
12645,581,37,0.0,\N
12646,581,32,0.0,\N
12647,581,3,0.0,\N
12648,581,64,0.0,\N
12775,582,73,3.0,\N
12774,582,34,6.0,\N
12773,582,6,9.0,\N
12789,583,6,6.0,\N
12788,583,64,9.0,\N
12806,584,1,4.0,\N
12805,584,64,6.0,\N
12804,584,6,9.0,\N
12822,585,25,4.0,\N
12821,585,34,6.0,\N
12820,585,1,9.0,\N
12837,586,3,6.0,\N
12836,586,34,9.0,\N
12852,587,202,2.0,\N
12851,587,64,3.0,\N
12850,587,37,4.5,\N
12869,588,34,3.0,\N
