circuitId,country,name,lat,lng,alt,location,date,time,year,locationModified,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,description,icon,stations
1,Australia,Albert Park Grand Prix Circuit,-37.8497,144.968,10,Melbourne,2012-03-18,6:00:00,2012,Melbourne%20Australia,20.9,10.4,16.2,20.9,10.4,16.2,11.9,77.2,0.1,100.0,4.17,rain,,,,22.5,174.2,1023.9,53.9,17.1,248.6,21.3,8.0,,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"YMAV,95874099999,94866099999,95867099999,94895599999,94865099999,YMML,94864099999,94870099999"
1,Australia,Albert Park Grand Prix Circuit,-37.8497,144.968,10,Melbourne,2013-03-17,6:00:00,2013,Melbourne%20Australia,17.0,10.4,13.5,17.0,10.4,13.5,7.4,68.0,8.655,100.0,12.5,rain,,,50.0,35.3,193.9,1022.6,79.7,15.4,257.2,22.3,9.0,,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"YMAV,95874099999,94866099999,95867099999,94895599999,95866099999,94865099999,YMML,94864099999,94870099999"
1,Australia,Albert Park Grand Prix Circuit,-37.8497,144.968,10,Melbourne,2014-03-16,6:00:00,2014,Melbourne%20Australia,19.6,11.9,15.2,19.6,11.9,15.2,6.7,58.8,0.406,100.0,8.33,rain,,,,36.8,299.2,1005.8,58.3,12.2,139.5,12.1,7.0,,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"948,980,999,999,587,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
1,Australia,Albert Park Grand Prix Circuit,-37.8497,144.968,10,Melbourne,2015-03-15,5:00:00,2015,Melbourne%20Australia,18.7,13.7,15.6,18.7,13.7,15.6,9.0,65.7,1.925,100.0,8.33,rain,0.0,0.0,42.1,31.2,179.0,1016.5,66.6,11.3,228.6,19.8,9.0,,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"958,740,999,999,486,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
1,Australia,Albert Park Grand Prix Circuit,-37.8497,144.968,10,Melbourne,2016-03-20,5:00:00,2016,Melbourne%20Australia,22.3,10.3,16.6,22.3,10.3,16.6,8.5,61.1,0.178,100.0,4.17,rain,0.0,0.0,37.8,15.0,143.6,1019.6,33.6,10.0,232.5,20.1,8.0,,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"958,740,999,999,486,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
1,Australia,Albert Park Grand Prix Circuit,-37.8497,144.968,10,Melbourne,2017-03-26,5:00:00,2017,Melbourne%20Australia,24.9,19.3,21.2,24.9,19.3,21.2,17.2,78.3,0.0,0.0,0.0,,0.0,0.0,23.4,13.1,198.6,1013.4,63.3,10.0,156.5,13.4,6.0,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"958,740,999,999,486,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
1,Australia,Albert Park Grand Prix Circuit,-37.8497,144.968,10,Melbourne,2018-03-25,5:10:00,2018,Melbourne%20Australia,24.7,12.1,21.0,24.7,12.1,21.0,11.4,56.8,1.069,100.0,8.33,rain,0.0,0.0,73.8,25.2,324.9,1000.8,74.0,9.9,190.5,16.6,8.0,,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"95874099999,D6954,94866099999,95936099999,C8667,95866099999,94865099999,94864099999"
1,Australia,Albert Park Grand Prix Circuit,-37.8497,144.968,10,Melbourne,2019-03-17,5:10:00,2019,Melbourne%20Australia,25.0,15.6,19.8,25.0,15.6,19.8,16.2,81.4,0.0,0.0,0.0,,0.0,0.0,33.1,15.2,213.4,1017.4,23.6,9.6,232.7,20.1,8.0,,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"95874099999,D6954,94866099999,95936099999,95866099999,94865099999,94864099999"
1,Australia,Albert Park Grand Prix Circuit,-37.8497,144.968,10,Melbourne,2022-04-10,5:00:00,2022,Melbourne%20Australia,26.5,16.6,21.3,26.5,16.6,21.3,13.7,63.4,0.0,0.0,0.0,,0.0,0.0,46.1,24.3,354.1,1017.0,44.7,12.8,177.7,15.3,7.0,10.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,94866099999,95936099999,95866099999,94865099999,F0862,94864099999"
1,Australia,Albert Park Grand Prix Circuit,-37.8497,144.968,10,Melbourne,2023-04-02,5:00:00,2023,Melbourne%20Australia,18.1,8.5,13.6,18.1,8.5,13.6,7.7,68.7,0.0,0.0,0.0,rain,0.0,0.0,18.4,12.6,159.3,1020.5,17.8,17.4,209.0,18.7,7.0,10.0,Clear,Clear conditions throughout the day.,clear-day,"95874099999,D6954,94866099999,95936099999,95866099999,94865099999,94864099999"
