weatherId,country,location,date,time,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,description,icon,stations
105,Turkey,Istanbul,2008-05-11,12:00:00,16.8,8.8,13.2,16.8,6.9,13.1,7.7,70.6,0.0,0.0,0.0,,,,,23.1,18.4,1018.8,32.1,9.7,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"1,706,309,999,917,060,000,000"
106,Turkey,Istanbul,2009-06-07,12:00:00,29.5,18.8,24.8,28.2,18.8,24.4,10.9,44.1,0.0,0.0,0.0,,,,,12.2,182.5,1013.2,50.0,10.0,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"1,706,309,999,917,060,000,000"
107,Turkey,Istanbul,2010-05-30,11:00:00,26.6,18.6,23.0,26.6,18.6,23.0,16.1,66.5,0.0,0.0,0.0,,,,,17.7,335.8,1013.5,38.0,10.4,322.1,27.8,10.0,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LTBA,17063099999,17059099999,17060099999"
108,Turkey,Istanbul,2011-05-08,12:00:00,17.8,6.9,11.8,17.8,4.3,11.4,5.7,67.1,0.0,0.0,0.0,,,,,31.9,6.4,1017.2,52.9,12.0,282.5,24.4,10.0,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LTBA,17063099999,17061099999,17059099999,17060099999"
142,Monaco,Monte-Carlo,2001-05-27,\N,24.3,19.0,21.8,24.3,19.0,21.8,15.2,66.7,0.0,0.0,0.0,,,,,17.9,67.2,1021.6,34.1,19.3,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"7,684,099,999,076,900,000,000,000,000,000,000,000,000,000"
143,Monaco,Monte-Carlo,2002-05-26,\N,21.8,15.0,18.5,21.8,15.0,18.5,13.5,73.5,0.0,0.0,0.0,,,,,28.3,68.0,1008.2,36.8,28.8,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76,840,999,990,769,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
144,Monaco,Monte-Carlo,2003-06-01,\N,22.3,18.1,20.0,22.3,18.1,20.0,17.6,86.5,0.0,0.0,0.0,,0.0,0.0,,19.6,78.1,1012.7,57.3,12.7,,,,,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"76,840,999,990,769,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
145,Monaco,Monte-Carlo,2004-05-23,\N,19.9,15.8,17.7,19.9,15.8,17.7,13.7,77.8,0.165,100.0,4.17,rain,,,,27.4,93.3,1013.7,59.7,23.7,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"7,684,099,999,076,900,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
146,Monaco,Monte-Carlo,2005-05-22,14:00:00,19.6,15.6,17.7,19.6,15.6,17.7,14.7,82.8,0.0,0.0,0.0,,0.0,0.0,37.4,25.7,86.5,1014.8,82.4,20.2,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"7,684,099,999,076,900,000,000,000,000,000,000,000,000,000"
147,Monaco,Monte-Carlo,2006-05-28,14:00:00,21.1,16.7,19.1,21.1,16.7,19.1,15.4,79.6,0.0,0.0,0.0,,0.0,0.0,21.5,12.0,121.8,1017.8,44.8,25.1,,,,,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"7,684,099,999,076,900,000,000,000,000,000,000,000,000,000"
