raceId,driverId,lap,position,time,milliseconds
1051,846,5,5,1:30.838,90838
1051,846,6,5,1:31.039,91039
1051,846,7,5,1:31.240,91240
1051,846,8,5,1:31.210,91210
1051,846,9,5,1:30.565,90565
1051,846,10,5,1:31.220,91220
1051,846,11,5,1:30.419,90419
1051,846,12,4,1:30.279,90279
1051,846,13,4,1:29.705,89705
1051,846,14,4,1:29.940,89940
1051,846,15,4,1:30.349,90349
1051,846,16,5,1:31.386,91386
1051,846,17,5,1:30.133,90133
1051,846,18,5,1:29.736,89736
1051,846,19,4,1:29.609,89609
1051,846,20,4,1:29.463,89463
1051,846,21,4,1:29.723,89723
1051,846,22,4,1:29.697,89697
1051,846,23,4,1:31.077,91077
1051,846,24,4,1:29.759,89759
1051,846,25,10,1:48.671,108671
1051,846,26,9,1:35.241,95241
1051,846,27,7,1:29.448,89448
1051,846,28,7,1:29.342,89342
1051,846,29,7,1:28.623,88623
1051,846,30,7,1:28.242,88242
1051,846,31,7,1:27.921,87921
1051,846,32,7,1:28.034,88034
1051,846,33,6,1:28.458,88458
1051,846,34,6,1:28.028,88028
1051,846,35,5,1:28.101,88101
1051,846,36,5,1:27.682,87682
1051,846,37,5,1:27.920,87920
1051,846,38,5,1:27.258,87258
1051,846,39,5,1:26.989,86989
1051,846,40,5,1:27.108,87108
1051,846,41,4,1:26.980,86980
1051,846,42,4,1:26.996,86996
1051,846,43,4,1:26.847,86847
1051,846,44,4,1:27.572,87572
1051,846,45,4,1:27.490,87490
1051,846,46,4,1:27.498,87498
1051,846,47,4,1:27.398,87398
1051,846,48,4,1:27.470,87470
1051,846,49,9,1:50.835,110835
1051,846,50,11,1:32.476,92476
1051,846,51,10,1:25.746,85746
1051,846,52,10,1:25.785,85785
1051,846,53,10,1:26.315,86315
1051,846,54,9,1:37.992,97992
1051,846,55,9,1:49.086,109086
1051,846,56,9,1:27.876,87876
1051,839,1,6,1:38.931,98931
1051,839,2,6,1:31.127,91127
1051,839,3,6,1:30.669,90669
1051,839,4,6,1:30.682,90682
1051,839,5,6,1:31.153,91153
1051,839,6,6,1:30.680,90680
1051,839,7,6,1:31.686,91686
1051,839,8,6,1:31.346,91346
1051,839,9,7,1:32.038,92038
1051,839,10,7,1:31.177,91177
1051,839,11,7,1:30.971,90971
1051,839,12,7,1:30.592,90592
1051,839,13,6,1:30.863,90863
1051,839,14,6,1:29.887,89887
1051,839,15,6,1:29.661,89661
1051,839,16,6,1:30.040,90040
1051,839,17,7,1:30.809,90809
1051,839,18,7,1:29.833,89833
1051,839,19,6,1:30.044,90044
1051,839,20,6,1:29.825,89825
1051,839,21,6,1:29.782,89782
1051,839,22,6,1:30.052,90052
1051,839,23,5,1:29.661,89661
1051,839,24,12,1:50.392,110392
1051,839,25,12,1:33.212,93212
1051,839,26,10,1:28.905,88905
1051,839,27,9,1:28.516,88516
1051,839,28,8,1:28.811,88811
1051,839,29,8,1:28.702,88702
1051,839,30,8,1:28.798,88798
1051,839,31,8,1:28.308,88308
1051,839,32,8,1:28.300,88300
1051,839,33,7,1:28.506,88506
1051,839,34,7,1:28.267,88267
1051,839,35,6,1:28.487,88487
1051,839,36,6,1:28.132,88132
1051,839,37,6,1:28.397,88397
1051,839,38,6,1:28.534,88534
1051,839,39,6,1:27.891,87891
1051,839,40,6,1:27.691,87691
1051,839,41,5,1:27.609,87609
1051,839,42,5,1:27.494,87494
1051,839,43,5,1:27.569,87569
1051,839,44,5,1:27.545,87545
1051,839,45,5,1:28.021,88021
1051,839,46,5,1:27.061,87061
1051,839,47,6,1:29.029,89029
1051,839,48,6,1:27.409,87409
1051,839,49,5,1:27.652,87652
1051,839,50,5,1:27.926,87926
1051,839,51,5,1:27.895,87895
1051,839,52,5,1:27.864,87864
1051,839,53,5,1:27.303,87303
1051,839,54,5,1:37.431,97431
1051,839,55,5,1:49.732,109732
1051,839,56,5,1:32.208,92208
1051,839,57,5,1:27.935,87935
1051,832,1,7,1:39.804,99804
1051,832,2,7,1:31.392,91392
1051,832,3,7,1:31.059,91059
1051,832,4,7,1:31.027,91027
1051,832,5,7,1:30.743,90743
1051,832,6,7,1:30.737,90737
1051,832,7,7,1:31.181,91181
1051,832,8,8,1:32.448,92448
1051,832,9,8,1:31.280,91280
1051,832,10,8,1:30.994,90994
1051,832,11,8,1:30.605,90605
1051,832,12,8,1:30.390,90390
1051,832,13,7,1:31.019,91019
1051,832,14,7,1:30.350,90350
1051,832,15,8,1:30.853,90853
1051,832,16,8,1:30.133,90133
1051,832,17,8,1:30.047,90047
1051,832,18,8,1:29.909,89909
1051,832,19,7,1:29.887,89887
1051,832,20,7,1:29.795,89795
1051,832,21,7,1:29.731,89731
1051,832,22,7,1:29.833,89833
1051,832,23,6,1:29.833,89833
1051,832,24,5,1:29.818,89818
1051,832,25,4,1:29.409,89409
1051,832,26,4,1:29.232,89232
1051,832,27,8,1:49.841,109841
1051,832,28,10,1:34.761,94761
1051,832,29,10,1:29.169,89169
1051,832,30,10,1:28.984,88984
1051,832,31,10,1:28.913,88913
1051,832,32,10,1:28.664,88664
1051,832,33,9,1:29.061,89061
1051,832,34,9,1:28.329,88329
1051,832,35,8,1:28.321,88321
1051,832,36,8,1:28.702,88702
1051,832,37,8,1:30.272,90272
1051,832,38,8,1:28.390,88390
1051,832,39,8,1:27.755,87755
1051,832,40,8,1:27.299,87299
1051,832,41,8,1:27.425,87425
1051,832,42,8,1:27.494,87494
1051,832,43,8,1:26.908,86908
1051,832,44,8,1:26.861,86861
1051,832,45,8,1:26.799,86799
1051,832,46,8,1:26.570,86570
1051,832,47,8,1:26.864,86864
1051,832,48,8,1:26.918,86918
1051,832,49,7,1:27.348,87348
1051,832,50,7,1:27.538,87538
1051,832,51,7,1:27.458,87458
1051,832,52,7,1:28.002,88002
1051,832,53,7,1:27.401,87401
1051,832,54,7,1:40.243,100243
1051,832,55,7,1:48.222,108222
1051,832,56,7,1:30.613,90613
1051,832,57,7,1:27.748,87748
1051,852,1,8,1:40.382,100382
1051,852,2,8,1:31.817,91817
1051,852,3,8,1:31.211,91211
1051,852,4,8,1:31.502,91502
1051,852,5,9,1:32.468,92468
1051,852,6,9,1:31.479,91479
1051,852,7,9,1:32.082,92082
1051,852,8,9,1:32.287,92287
1051,852,9,20,1:54.105,114105
1051,852,10,20,1:36.181,96181
1051,852,11,19,1:30.396,90396
1051,852,12,19,1:29.734,89734
1051,852,13,19,1:30.104,90104
1051,852,14,19,1:30.245,90245
1051,852,15,18,1:29.921,89921
1051,852,16,18,1:29.745,89745
1051,852,17,17,1:30.150,90150
1051,852,18,16,1:29.806,89806
1051,852,19,16,1:30.176,90176
1051,852,20,16,1:30.324,90324
1051,852,21,15,1:29.900,89900
1051,852,22,14,1:29.708,89708
1051,852,23,14,1:29.119,89119
1051,852,24,14,1:29.571,89571
1051,852,25,14,1:29.429,89429
1051,852,26,12,1:29.066,89066
1051,852,27,11,1:29.035,89035
1051,852,28,11,1:29.293,89293
1051,852,29,11,1:29.231,89231
1051,852,30,11,1:29.016,89016
1051,852,31,11,1:29.008,89008
1051,852,32,11,1:29.001,89001
1051,852,33,10,1:29.229,89229
1051,852,34,13,1:50.159,110159
1051,852,35,16,1:34.630,94630
1051,852,36,16,1:28.322,88322
1051,852,37,16,1:29.320,89320
1051,852,38,16,1:28.858,88858
1051,852,39,15,1:28.039,88039
1051,852,40,15,1:28.168,88168
1051,852,41,15,1:28.591,88591
1051,852,42,15,1:28.638,88638
1051,852,43,15,1:28.471,88471
1051,852,44,14,1:27.845,87845
1051,852,45,14,1:27.776,87776
1051,852,46,14,1:27.423,87423
1051,852,47,14,1:27.587,87587
1051,852,48,14,1:27.960,87960
1051,852,49,13,1:27.190,87190
1051,852,50,13,1:27.043,87043
1051,852,51,13,1:27.239,87239
1051,852,52,13,1:27.173,87173
1051,852,53,13,1:27.925,87925
1051,852,54,13,1:46.463,106463
1051,852,55,13,1:44.715,104715
1051,852,56,13,1:28.141,88141
1051,815,1,9,1:41.182,101182
1051,815,2,9,1:31.896,91896
1051,815,3,9,1:31.114,91114
1051,815,4,9,1:31.099,91099
1051,815,5,8,1:29.792,89792
1051,815,6,8,1:29.917,89917
1051,815,7,8,1:31.122,91122
1051,815,8,7,1:30.318,90318
1051,815,9,6,1:29.833,89833
1051,815,10,6,1:31.107,91107
1051,815,11,6,1:30.629,90629
1051,815,12,6,1:31.140,91140
1051,815,13,5,1:29.051,89051
1051,815,14,5,1:29.268,89268
1051,815,15,5,1:29.975,89975
1051,815,16,4,1:28.667,88667
1051,815,17,4,1:29.108,89108
1051,815,18,4,1:28.963,88963
1051,815,19,11,1:49.096,109096
1051,815,20,12,1:33.466,93466
1051,815,21,12,1:28.183,88183
1051,815,22,12,1:29.191,89191
1051,815,23,10,1:27.735,87735
1051,815,24,9,1:30.183,90183
1051,815,25,7,1:27.596,87596
1051,815,26,7,1:28.373,88373
1051,815,27,5,1:29.628,89628
1051,815,28,5,1:28.182,88182
1051,815,29,4,1:27.903,87903
1051,815,30,4,1:27.980,87980
1051,815,31,4,1:27.472,87472
1051,815,32,4,1:27.657,87657
1051,815,33,3,1:30.067,90067
1051,815,34,3,1:28.477,88477
1051,815,35,3,1:27.547,87547
1051,815,36,3,1:27.693,87693
1051,815,37,3,1:28.184,88184
1051,815,38,3,1:27.660,87660
1051,815,39,3,1:28.048,88048
1051,815,40,3,1:27.403,87403
1051,815,41,6,1:47.990,107990
1051,815,42,7,1:31.217,91217
1051,815,43,7,1:25.747,85747
1051,815,44,7,1:27.106,87106
1051,815,45,7,1:26.882,86882
1051,815,46,6,1:26.186,86186
1051,815,47,5,1:26.389,86389
1051,815,48,5,1:26.393,86393
1051,815,49,4,1:25.613,85613
1051,815,50,4,1:26.309,86309
1051,815,51,4,1:25.953,85953
1051,815,52,4,1:25.722,85722
1051,815,53,4,1:25.839,85839
1051,815,54,4,1:33.276,93276
1051,815,55,4,1:47.116,107116
1051,815,56,4,1:34.667,94667
1051,815,57,4,1:26.467,86467
1051,840,1,10,1:41.296,101296
1051,840,2,10,1:32.272,92272
1051,840,3,10,1:31.167,91167
1051,840,4,10,1:31.286,91286
1051,840,5,10,1:31.726,91726
1051,840,6,10,1:31.462,91462
1051,840,7,10,1:32.073,92073
1051,840,8,10,1:32.209,92209
1051,840,9,9,1:30.132,90132
1051,840,10,10,1:30.761,90761
1051,840,11,10,1:29.555,89555
1051,840,12,10,1:29.707,89707
1051,840,13,9,1:30.370,90370
1051,840,14,9,1:30.439,90439
1051,840,15,9,1:30.136,90136
1051,840,16,9,1:30.165,90165
1051,840,17,9,1:29.973,89973
1051,840,18,9,1:30.150,90150
1051,840,19,8,1:29.649,89649
1051,840,20,8,1:29.841,89841
1051,840,21,8,1:30.101,90101
1051,840,22,8,1:29.869,89869
1051,840,23,13,1:50.883,110883
1051,840,24,13,1:33.493,93493
1051,840,25,13,1:28.602,88602
1051,840,26,11,1:28.597,88597
1051,840,27,10,1:28.800,88800
1051,840,28,9,1:28.744,88744
1051,840,29,9,1:28.599,88599
1051,840,30,9,1:28.686,88686
1051,840,31,9,1:28.569,88569
1051,840,32,9,1:28.448,88448
1051,840,33,8,1:28.788,88788
1051,840,34,8,1:27.877,87877
1051,840,35,7,1:27.912,87912
